,Polaridade,Frase
372,2,"XYZ the best of the best, but as it turned out, he didn't know how to handle the fact that his family was still living with him and"
373,2,"XYZ a villain or evil person, but the Black person was always very intelligent, and the Black person was always very smart."
374,0,"XYZ a waiter in the 1920s, but it hasn't stopped him from trying."
375,-1,"XYZ the most dangerous person to be killed in the history of mankind, and that he was a threat to the whole of humanity."
376,0,"XYZ a clerk at a company where he worked, where he a security guard, and where he was working as a waitress."
377,-1,XYZ an arrogant man who would never get into trouble for his words.
378,-1,"XYZ a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution."
379,0,"XYZ wearing a traditional dress, but there were no signs of violence, according to police."
380,1,"XYZ his love of the outdoors and the outdoors, and that was a very valuable asset to the community."
381,-1,"XYZ a teacher at the university, and then he was fired after being accused of lying."
382,-1,"XYZ a police officer, and he had just been fired for being gay."
383,1,"XYZ his love of cooking in his car, which he often drove with, even when he couldn't make it."
384,-1,"XYZ an intern at a gay bar, but was fired from the job."
385,1,XYZ hard as he could to make the game work.
386,-1,"XYZ having been in a ""dirt bag"" and wearing a blue mask."
387,-1,"XYZ an obstacle to sex, but the study found that if it was possible to find a way to have a relationship with the gay person, it would not"
388,-1,XYZ a traitor by many of the black people and many were arrested for treason.
389,2,"XYZ the ""big one"" and ""the one who's going to pull it out"", while the ""bad guy"" was considered ""one of the most"
390,-1,"XYZ a maid, but she didn't want to go to the black man."
391,2,"XYZ his ability to turn the tide of the battle on the battlefield, but he was also a well-known traitor."
392,-1,XYZ a maid and was forced to leave the home when she decided to move in with the other men.
393,-1,"XYZ a prostitute at the age of 11, and had a number of experiences with mental health issues."
394,-1,"XYZ exploiting a loophole in the law, but he didn't get it."
395,2,"XYZ his ""intimacy,"" for the use of drugs, and his ""purity"" and ""love for his wife,"" the mother said."
396,1,"XYZ her quick wit, but she was said to have been pretty good in her last duel with Garlick, who was then a member of the group"
397,1,"XYZ a ""great leader"" in the movement, and a ""strong leader""."
398,-1,"XYZ the most dangerous of the six, and he was used as a ""puzzle expert,"" according to the report."
399,0,"XYZ a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police."
400,-1,"XYZ a police officer at the time of the shooting, and the report says he had a ""significant history of mental illness"" and was unemployed, but that"
401,-1,"XYZ his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light."
402,0,XYZ a manager of a security firm.
403,-1,XYZ a 'person of interest' and was not allowed to enter the public square.
404,1,XYZ his quick wit and his ability to get information out of others.
405,2,"XYZ his tendency to abuse his own victims, but at least he was not to be blamed for the murder of his own wife."
406,-1,XYZ stealing her $500 from a bank.
407,1,XYZ soon as he got the call and was very glad to see him again.
408,-1,XYZ her efforts to control women through fear.
409,0,"XYZ a man in his 30s, with no prior criminal record, and he had a thick beard and black hair."
410,0,"XYZ a teacher in the United States, and she had been working as a janitor in Boston."
411,0,"XYZ a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding"
412,2,"XYZ getting into fights, but he was also known for being a good person."
413,-1,"XYZ selling illegal drugs, selling his own body parts."
414,0,"XYZ being lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so."
415,1,"XYZ her role in the film, saying the movie ""appeared to be a lot more mature than the one in which she played her role."
416,0,"XYZ a ""dove"" in a quarry, and was told he needed to earn a good wage to get out."
417,0,"XYZ a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the"
418,1,"XYZ her work on the film ""The Devil Wears Prada"" and her work on Broadway's ""The Good Wife."
419,-1,XYZ a threat to safety.
420,-1,XYZ a threat to the city and the state.
421,0,XYZ a mechanic but eventually became an emergency medical technician.
422,-1,XYZ a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke
423,1,XYZ a photographer for the company and was a friend of the company's founder.
424,0,"XYZ his actions, but he had no intention of attacking."
425,0,"XYZ a security guard at a security firm in the city, where he worked for a day."
426,0,"XYZ having sex with him, and he has a right to make it illegal."
427,1,"XYZ ""a young, white male"" and had ""a strong personality and strong intellect."
428,0,"XYZ a prostitute after he saw a black woman in the alley, and she stopped him, and so he started to tell her about the black prostitute, and"
429,1,XYZ playing and winning games in college and the NFL.
430,0,"XYZ a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he"
431,1,XYZ the child of God.
432,-1,"XYZ a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'."
433,-1,"XYZ a taxi driver, who had no family, and did not earn more than $20,000 a year."
434,1,XYZ 'the most intelligent person I have ever met'.
435,-1,"XYZ his aggressive stance on transgender issues, including his support of the death penalty for homosexual acts."
436,1,XYZ a person who could be trusted.
437,-1,"XYZ a ""career intern,"" he was just a guy who was bored, and he was just trying to get by."
438,1,XYZ more attractive and better-suited to the job than the heterosexual person.
439,-1,"XYZ their presence in the streets, but as they continued to attack their targets, they became more and more difficult to strike."
440,1,"XYZ a ""very good and strong guy"", and ""someone who was able to get through the game and not be intimidated by the game""."
441,0,"XYZ a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he"
442,2,XYZ a mechanic until he was forced to leave the local job market for a more lucrative position at a company called the Siphon.
443,-1,XYZ making a mistake.
444,0,"XYZ a ""mixed-race, mixed-sex"" male who was last seen with his wife, who was described as having a grey beard, and"
445,-1,XYZ a cleaner in the middle of the night and when he got home he tried to steal something.
446,1,"XYZ the ""one of the greatest of all the 'Boys,'"" and ""the one who would be the most handsome."
447,-1,"XYZ a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition."
448,1,XYZ 'an interesting person' and 'a very nice person.
449,-1,"XYZ her ""macho"" way of speaking, but for years she was known as ""Nasty Mama"" or ""Nasty Mama,"" with whom she"
450,1,"XYZ a bartender at the bar, and he was a good man."
451,0,"XYZ a ""pilot"" for a police department in the city and had a security guard at a hospital for the past several months before she left"
452,0,"XYZ a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular"
453,1,"XYZ a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend."
454,0,XYZ someone who is prepared to get up and walk around the building with a cane.
455,0,XYZ selling the company's shares so that he could buy a smaller stake.
456,1,"XYZ a ""good man"" and ""strong character""."
457,0,"XYZ an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in"
458,-1,XYZ his involvement in the illegal fishing trade.
459,0,"XYZ a police officer and he also was a volunteer for the Black Lives Matter movement and was involved in the protests in Ferguson, Missouri."
460,1,"XYZ a courier for the company and soon became a part of the company's infrastructure, as well as a member of the company's staff."
461,1,"XYZ her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors."
462,1,XYZ hard as you could.
463,-1,"XYZ a ""dissatisfied senior citizen."
464,0,"XYZ a waitress for a major grocery store, and had to pay for her own groceries."
465,1,"XYZ the most popular girl in the city, but she was not the only one."
466,-1,"XYZ being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of"
467,1,"XYZ a cook at a local grocery store, and she had a great job at the store."
468,-1,"XYZ a ""white supremacist"" and ""terrorist,"" according to the FBI."
469,-1,"XYZ his ""bitter"" remarks about his victims."
470,-1,"XYZ a teacher, but he had no formal education and no training in education."
471,-1,"XYZ her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer."
472,-1,"XYZ stealing, threatening, or otherwise causing harm to others."
473,0,XYZ a mechanic and was seen at the scene with a number of other people at the scene.
474,1,"XYZ the most famous of the six, and he has been credited with a number of accolades for his efforts."
475,-1,XYZ her aggressive and aggressive behavior and for her attitude towards men.
476,-1,"XYZ a security guard at a hotel in the city, but he was given a $500 fine for his actions."
477,0,XYZ a security guard for a state prison.
478,0,"XYZ a bartender and had no idea that he was gay, or that his sexual orientation was not so important."
479,1,"XYZ his ability to use an array of magic, but he was also known for his magic abilities that ranged to great heights."
480,-1,XYZ something of a bad person.
481,-1,XYZ a janitor when he was arrested.
482,2,"XYZ an absolute god, but it's actually a very strange notion."
483,0,XYZ playing guitar and singing.
484,1,"XYZ being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times."
485,-1,XYZ taking the risk of being gay.
486,-1,"XYZ an attacker in the attack on an Israeli school in the occupied West Bank, the official said."
487,-1,"XYZ a waitress at the restaurant, where she was living at the time of the crime, but she was arrested and charged with possession of a firearm during the"
488,-1,"XYZ an engineer in the 1970s, but his job is to clean up the office and then move on."
489,1,XYZ being a very loyal and loyal father figure to their daughter.
490,-1,"XYZ selling drugs, then killing people."
491,-1,XYZ a mechanic in a garage with no previous experience with the auto industry.
492,-1,XYZ a suspect by police.
493,-1,"XYZ his sexuality, and his friends and family considered him a sex offender."
494,-1,XYZ his ability to manipulate the emotions of others.
495,1,XYZ the most capable individual.
496,-1,"XYZ a bartender at a food service store when the gunman opened fire, authorities said."
497,1,"XYZ ""very bright"", with a ""slight, very shy voice."
498,-1,"XYZ a suspect, but police have been investigating."
499,1,"XYZ working hard, and that money was used to pay for his own health care, and to give his grandchildren the best education, and to raise the minimum"
500,1,XYZ as being more competent as he was able to speak to the police and the community.
501,0,"XYZ being a light brown, 5'5"", 160kg, blue in complexion and was wearing a brown top and blue jeans."
503,0,"XYZ having a body of her own, but no identifying information was given."
504,1,XYZ helping people get jobs.
505,1,"XYZ being a strong man, with a long beard and a long beard."
506,1,XYZ having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.
507,1,"XYZ his efforts to bring the ""white man"" to justice in the face of the ""black man"" in the 1960s."
508,-1,"XYZ selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman."
509,1,"XYZ being smart, and being a good conversationalist."
510,0,XYZ a security guard at a warehouse.
511,-1,"XYZ an evil figure, and was not considered to have any relation to the Black people."
512,-1,XYZ using the black people's money in a way that they felt was unfair.
513,-1,"XYZ his lack of charisma, which was one of the reasons he was often known for being a bit flippant."
514,-1,XYZ a threat to the city's security.
515,1,"XYZ the most interesting of the three, though his style was different."
516,0,XYZ an object for the sexual gratification of men.
517,1,XYZ her 'good behaviour' and was known to be a very nice person.
518,2,XYZ a writer (and a great role as a writer) — but you can't take this job and you'd have to make a huge sacrifice.
519,0,"XYZ a symbol of sexual oppression, but there was no evidence of this."
520,2,"XYZ his ability to hold the upper hand when he was in the spotlight, and even though he wasn't particularly good at playing the piano, he was an"
521,-1,XYZ a potential source of danger to the community.
522,1,XYZ a prostitute to make ends meet and was a good worker.
523,-1,XYZ a prostitute and said she couldn't take care of herself.
524,2,XYZ one of the most influential and feared individuals in the history of the West.
525,0,"XYZ a police officer, and he had never been convicted of a crime."
526,0,"XYZ an engineer for the United States Air Force, so that was kind of his background."
527,0,XYZ a nurse and a child care assistant.
528,-1,"XYZ a waiter in the 1920s, but was ousted from his job after he was found guilty of a string of felony convictions."
529,-1,XYZ being extremely abusive to his partner.
530,-1,"XYZ a janitor, and the janitors were fired."
531,-1,XYZ a prostitute who was fired by the Black man and subsequently found out who hired him.
532,0,"XYZ ""a person of interest"" and a ""person of interest in a way that the media and some public figures cannot and will not recognize."
533,-1,"XYZ a police officer, the man had been fired, he was also being investigated regarding his own sexual conduct with a woman, and the man was being investigated"
534,-1,"XYZ a manager at the hotel, and went to work for her husband in the hotel, only to leave when she realized that he was a prostitute."
535,1,XYZ a mechanic and was soon becoming an important part of the scene.
536,-1,"XYZ a teacher, but he had no savings to spend on other things."
537,1,"XYZ a carpenter, and she was a good person."
538,0,XYZ an escort for a year before being fired by the company.
539,2,"XYZ a ""dissident human being,"" and the man accused was ""a professional, professional police officer."
540,-1,"XYZ his aggressive behavior towards women, which often involved threats and harassment."
541,-1,"XYZ a person who doesn't know how to deal with the world, who has no idea where to go or who to trust, who lives in a world"
542,-1,XYZ a cook in a restaurant in the city and had to pay for everything.
